GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Barghest Minion 1,Hero 1,Barghest Minion 3,Barghest Minion 2,Hero 3,Hero 2,Hero 4,Goblin Minion 3,Goblin Minion 4,Goblin Minion 1,Goblin Minion 2,Goblin Master,Barghest Master
-84488275,Descent2e,0,ABOUT_TO_START,0,0,4,2,"(10,4)","(1,15)",,"(9,3)","(2,15)","(2,16)",,"(5,4)",,"(2,4)","(2,7)","(4,5)","(11,5)"
-84488275,Descent2e,0,ROUND_OVER,29,10,4,2,"(10,4)","(1,15)",,"(9,3)","(3,11)","(2,16)",,"(5,10)",,"(3,9)","(5,8)","(3,10)","(11,5)"
-84488275,Descent2e,1,ROUND_OVER,48,10,4,2,"(10,4)","(1,15)",,"(9,3)","(6,14)","(2,16)",,"(5,14)",,"(3,9)","(3,12)","(3,10)","(11,5)"
-84488275,Descent2e,2,ROUND_OVER,67,10,4,2,"(10,4)","(1,15)",,"(9,3)","(7,12)","(2,16)",,"(5,14)",,"(3,9)","(3,12)","(3,10)","(11,5)"
-84488275,Descent2e,3,ROUND_OVER,79,10,4,2,"(10,4)","(1,15)",,"(9,3)","(7,12)","(2,16)",,"(5,14)",,"(3,9)","(3,12)","(3,10)","(11,5)"
-84488275,Descent2e,4,ROUND_OVER,99,10,4,2,"(10,4)","(1,15)",,"(9,3)","(8,12)","(2,16)",,"(5,14)",,"(3,9)","(3,12)","(3,10)","(11,5)"
-84488275,Descent2e,5,GAME_OVER,100,0,4,2,"(10,4)","(1,15)",,"(9,3)","(8,12)","(2,16)",,"(5,14)",,"(3,9)","(3,12)","(3,10)","(11,5)"
-611313646,Descent2e,0,ABOUT_TO_START,0,0,4,3,"(8,6)","(1,16)",,"(10,3)","(2,15)","(2,16)",,"(5,3)",,"(2,2)","(5,7)","(4,5)","(8,2)"
-611313646,Descent2e,0,ROUND_OVER,25,10,4,3,"(8,6)","(1,16)",,"(9,6)","(7,15)","(2,16)",,"(8,11)",,"(5,6)","(5,7)","(3,8)","(8,2)"
-611313646,Descent2e,1,ROUND_OVER,38,10,4,3,"(8,6)","(1,16)",,"(9,6)","(7,15)","(2,16)",,"(6,16)",,"(5,6)","(5,7)","(3,8)","(8,2)"
-611313646,Descent2e,2,ROUND_OVER,54,10,4,3,"(8,6)","(1,16)",,"(9,6)","(9,14)","(2,16)",,"(6,16)",,"(5,6)","(5,7)","(3,8)","(8,2)"
